tweet_id,hashtags,date,img_urls,video_url,replies,reply_to_users,retweets,links,user_mentions
1256287080151474177,['auxilioemergencial'],2020-05-01T18:19:15,[],,0,"[{'screen_name': 'AprovadosCEF14', 'user_id': '1116392744627384320'}, {'screen_name': 'Caixa', 'user_id': '229191436'}]",1,[],"['@Caixa,mais', '@jairbolsonaro', '@MPTDFTO', '@MPT_PGT', '@AlbertoBalazei1', '@imparcialonline', '@erikakokay', '@profmarcivania', '@AndreJanonesAdv', '@davialcolumbre', '@UOLNoticias', '@correio', '@imparcialonline']"
1256287075852222467,['auxilioemergencial'],2020-05-01T18:19:14,[],,0,[],0,['https://twitter.com/lhzanardi/status/1256283863476850689'],"['@jairbolsonaro', '@MPTDFTO', '@MPT_PGT', '@AlbertoBalazei1', '@imparcialonline', '@erikakokay', '@profmarcivania', '@AndreJanonesAdv', '@MinEconomia', '@MinCidadania', '@UOLNoticias', '@correio', '@g1', '@sptv', '@recontaai', '@playnews', '@primeirojornalhttps://twitter.com/lhzanardi/status/1256283863476850689']"
1269417367886585861,['AuxílioEmergencial'],2020-06-06T23:54:19,[],,3,[],1,[],[]
1269416121725259777,['AuxílioEmergencial'],2020-06-06T23:49:22,[],,1,[],0,[],[]
1269415681927319552,['auxilioemergencial'],2020-06-06T23:47:37,[],,0,[],0,['https://indicapagbank.page.link/SDxAkShCBKmFHgYT9'],[]
1269415443497918465,"['BolsonaroTransparenciaZero', 'coronavirus', 'covid19', 'Auxilioemergencial', 'AnomynousBrazil']",2020-06-06T23:46:40,[],,0,[],2,[],[]
1269409157385539584,['Auxilioemergencial'],2020-06-06T23:21:42,[],,1,[],1,[],['@onyxlorenzoni']
1269408014785748995,"['analiseeterna', 'auxilioemergencial', 'OnyxMentiroso']",2020-06-06T23:17:09,[],,0,[],2,[],[]
1269407872426938372,['auxilioemergencial'],2020-06-06T23:16:35,[],,0,[],1,[],[]
1269406172098039809,['auxilioemergencial'],2020-06-06T23:09:50,[],,4,[],0,[],[]
1269405401788882949,['auxilioemergencial'],2020-06-06T23:06:46,[],,5,[],0,[],[]
1269403858943586304,['auxilioemergencial'],2020-06-06T23:00:39,"['https://pbs.twimg.com/media/EZ3UEIRWsAEq7DC.jpg', 'https://pbs.twimg.com/media/EZ3UEr3X0AEUnoo.jpg']",,2,[],0,[],[]
1269402925677400064,['AuxilioEmergencial'],2020-06-06T22:56:56,[],,0,[],0,['https://twitter.com/MaikeSanthiago/status/1268919665679572992'],[]
1269400916291194882,['auxilioemergencial'],2020-06-06T22:48:57,[],,5,[],0,[],[]
1269398877972697088,"['auxilioemergencial', 'datalixo', 'onixmentiroso']",2020-06-06T22:40:51,[],,0,[],1,[],[]
1269398619989446657,['auxilioemergencial'],2020-06-06T22:39:49,[],,1,[],1,[],"['@dataprev', '@onyxlorenzoni', '@Caixa', '@jairbolsonaro']"
1269397416756736000,['AuxilioEmergencial'],2020-06-06T22:35:03,[],,0,[],0,['http://jornalbrasilnoticias.com/2020/05/15/auxilio-emergencial-mudou-tudo-segunda-parcela/'],[]
